Tue Apr 20 04:40:47 +0000 2021,"b""Have #trading questions in mind? \xf0\x9f\xa4\x94 Well, #TradersCorner \xf0\x9f\x91\x94 is here for you! \n\nAsk away all your questions now by using #AskTheTrader and tag us. \n\nWe will go Live with Mr. @AshishChatur of @sanctum_wealth this #Friday. Don't miss out! \xe2\x9a\xa1 https://t.co/0MEEZTg0p3"""

Tue Apr 20 04:40:52 +0000 2021,b'RT @IPL: Safari Super Striker of the Match between @ChennaiIPL and @rajasthanroyals is Faf du Plessis.\n\n@TataMotors_Cars #SafariSuperStrike\xe2\x80\xa6'

Tue Apr 20 04:41:02 +0000 2021,"b""RT @adityampaul: Sad loss to India's favorite travel blogger. https://t.co/evUvoDyl9n"""

Tue Apr 20 04:41:12 +0000 2021,"b'#Maruti has hiked prices across most models by up to Rs 22,500. Only a few cars have been spared from this increment. https://t.co/8MBra3IgPW\n\n@MSArenaOfficial'"

Tue Apr 20 04:41:14 +0000 2021,b'RT @amolparashar: We need better and more honest headlines from our Media.\n\ne.g. \xe2\x80\x9cUnion Minister makes a supremely bizarre claim about PM w\xe2\x80\xa6'

Tue Apr 20 04:41:33 +0000 2021,"b""RT @PujaBhoi4: #JusticeforCesuFranchiseEmployees. We have already spend almost half year on the road for a job in a private company ...it's\xe2\x80\xa6"""

Tue Apr 20 04:41:38 +0000 2021,b'RT @zahranc: #Ramadan advertisement from @TataMotors. A trending video in the Middle East these days. #Ramadan2021 \n\nhttps://t.co/x3AwuNn35E'

Tue Apr 20 04:41:39 +0000 2021,b'RT @amolparashar: We need better and more honest headlines from our Media.\n\ne.g. \xe2\x80\x9cUnion Minister makes a supremely bizarre claim about PM w\xe2\x80\xa6'

Tue Apr 20 04:41:54 +0000 2021,b'Did you know Dr MMS had taken both the doses of COVID-19 vaccine? \nGet well soon. \n\nhttps://t.co/ASctytswcs'

Tue Apr 20 04:41:57 +0000 2021,"b'RT @banarasikanya: Finally bought @reliancejio SIM, speed like Butter... No network issues.... Dear @ViCustomerCare go to hell....'"

Tue Apr 20 04:42:11 +0000 2021,b'Day-103\nT-123\nRespected Sir @RNTata2000 @vrswamy \nI have more then 2 year experience in online exam conducting\nI need your blessings to get a job in @TCS_iON Delhi\nPlz give me a chance sir I am so hardworking\nI am so needy sir I need job for my family\nPlz help my god\n\n9716384323'

Tue Apr 20 04:42:14 +0000 2021,b'RT @amolparashar: We need better and more honest headlines from our Media.\n\ne.g. \xe2\x80\x9cUnion Minister makes a supremely bizarre claim about PM w\xe2\x80\xa6'

Tue Apr 20 04:42:27 +0000 2021,b'RT @NG_Vipraajesh: Seriously unethical by @TataMotors_Cars @TataMotors to do nothing on this issue. Your customer is being ignored by the d\xe2\x80\xa6'

Tue Apr 20 04:42:30 +0000 2021,b'RT @ErBiswajitSwai1: #JusticeforCesufranchiseemployees Dear No. 1CM if you really worry for odiaha then prove it by action not by words.@PM\xe2\x80\xa6'

Tue Apr 20 04:42:30 +0000 2021,"b""Dear respected proud indians i dont have any source in @TCS that's way i directly request you\n@tata_comm @kramanuj @People_TCS @TCSWorld10K @TCS_UKI  @vrswamy @RNTata2000 @TataMotors  @TataSteelLtd @SonuSood @rsprasad @GoI_MeitY @PMOIndia @narendramodi @DrRituAnand @adishanks"""

Tue Apr 20 04:42:35 +0000 2021,"b'I stand with these cops, they saved 15 lives.\n#standwithNagpurCops\n@TajinderBagga @LevinaNeythiri @BittuTuFanii @SonuSood @NupurSharmaBJP @mssirsa @PMOIndia @narendramodi @AmitShah @HMOIndia @rajnathsingh @CharuPragya @mssirsa @MODIfiedVikas @anandmahindra @ARanganathan72 https://t.co/kaMyvtRzL9'"

Tue Apr 20 04:42:36 +0000 2021,"b""@Bajaj_Finserv On 18th April, I tuk policy 4 motor car, payment hs been dne but I still hv nt rcvd d policy. Cstmr cr told me that I'll receive it within 24hrs, bt it hs been 48 hours, stil no policy. Customer care representative making new statements every day.vry poor service"""

Tue Apr 20 04:42:38 +0000 2021,"b'@ZoomCarIndia Save your peace and life, AVOID @morang run @ZoomCarIndia, a company with unfortunately supported by @anandmahindra @MahindraRise @Ford @Sequoia_India @sequoia @InnoVenCap_IN @TrifectaCap @Sony https://t.co/fAZtQYS361'"

Tue Apr 20 04:42:40 +0000 2021,"b'RT @Memeghnad: When he did 10 massive rallies across 4 states in 3 days, he was tackling coronavirus. Sure.\n\nLogic \xf0\x9f\xa4\xaf\xf0\x9f\x94\xab'"

Tue Apr 20 04:42:43 +0000 2021,b'RT @pulkyy: @Maruti_Corp @MSArenaOfficial @ETAuto @TOIAuto not setting a good precedent. Please take this up with your team as we blindly t\xe2\x80\xa6'

